Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
0,Bar,NEUDOT BAILEYS Engineered Wood Bar Cabinet,819,1980,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 1200 mm x 1850 mm x 350 mm (3 ft 11 in x 6 ft x 1 ft 1 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
1,Bar,Ognija ognijawirablackwalnut001 Solid Wood Bar Cabinet,126,247,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 584 mm x 406 mm x 150 mm (1 ft 10 in x 1 ft 3 in x 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mobila Casa
2,Bar,Allie Wood Sheesham Wood Bar Cabinet Rack for Home (Nat...,1101,2722,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 1325.88 mm x 863.6 mm x 508 mm (4 ft 4 in x 2 ft 10 in x 1 ft 8 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
3,Bar,FURINNO wooden large cabinet Solid Wood Bar Cabinet,1191,2351,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 1290.3 mm x 878.8 mm x 657.8 mm (4 ft 2 in x 2 ft 10 in x 2 ft 1 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Magica
4,Bar,Thar eCraft Mini Bar Cabinet/Wine Rack Holder for Home/...,148,260,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 600 mm x 450 mm x 120 mm (1 ft 11 in x 1 ft 5 in x 4 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
5,Bar,Ognija sheesham wood wall mini bar cabinet Solid Wood B...,126,247,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 584 mm x 406 mm x 150 mm (1 ft 10 in x 1 ft 3 in x 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mobila Casa
6,Bar,Barewether Engineered Wood Bar Cabinet,651,866,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 46.99 cm x 179.832 cm x 46.99 cm (1 ft 6 in x 5 ft 10 in x 1 ft 6 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Ikea
7,Bar,Studio Kook Classic Mini Bar Engineered Wood Bar Cabine...,700,1216,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 549 mm x 597 mm x 450 mm (1 ft 9 in x 1 ft 11 in x 1 ft 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Rusu
8,Bar,Marutiwod Solid Wood Bar Cabinet,1234,4867,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 588 mm x 1803.4 mm x 431.8 mm (1 ft 11 in x 5 ft 11 in x 1 ft 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Magica
9,Bar,Cherry Wood Rosewood (Sheesham) Wood Bar Cabinet Rack f...,1076,3184,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 1320 mm x 889 mm x 508 mm (4 ft 3 in x 2 ft 10 in x 1 ft 8 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
10,Bar,Studio Kook Classic Mini Bar Engineered Wood Bar Cabine...,700,1216,"['Material: Engineered Wood', 'Door Included: Yes', 'W x H x D: 549 mm x 597 mm x 450 mm (1 ft 9 in x 1 ft 11 in x 1 ft 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Ikea
11,Bar,Flipkart Perfect Homes Rosewood (Sheesham) Bar Cabinet ...,1176,3184,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 1320 mm x 889 mm x 508 mm (4 ft 3 in x 2 ft 10 in x 1 ft 8 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
12,Bar,"Timberly Wall Mounted Wine Rack, Bar Cabinet with Glass...",371,989,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 965 mm x 635 mm x 127 mm (3 ft 1 in x 2 ft 1 in x 5 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Rusu
13,Bar,Timberly Bar Cabinet | Wine Rack with 5 Bottle Stacking...,148,247,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 191 mm x 152 mm x 610 mm (7 in x 5 in x 2 ft)','Delivery condition: Pre Assembled (Ready to Use)']",Dedeman
14,Bar,Timberly Sheesham Wood Hut Shape Design Bar Cabinet wit...,884,1402,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 710 mm x 760 mm x 300 mm (2 ft 3 in x 2 ft 5 in x 11 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
15,Bar,Flipkart Perfect Homes Solid Wood Bar Cabinet,1669,1897,"['Material: Solid Wood', 'Door Included: Yes', 'W x H x D: 700 mm x 525 mm x 925 mm (2 ft 3 in x 1 ft 8 in x 3 ft)','Delivery condition: Pre Assembled (Ready to Use)']",Jysk
16,Bar,Ognija Solid Wood Bar Cabinet,198,660,"['Material: Solid Wood', 'Door Included: No', 'W x H x D: 700 mm x 700 mm x 120 mm (2 ft 3 in x 2 ft 3 in x 4 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
