Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
0,Bed,Flipkart Perfect Homes Opus Engineered Wood Queen Box B...,1108,2467,"['Bed Material Subtype: Particle Board', 'W x H x D: 162.3 cm x 79.9 cm x 213 cm (5 ft 3 in x 2 ft 7 in x 6 ft 11 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Dedeman
2,Bed,Flipkart Perfect Homes Opus Engineered Wood King Box Be...,674,1477,"['Bed Material Subtype: Particle Board', 'W x H x D: 192.5 cm x 797.5 mm x 2130 mm (6 ft 3 in x 2 ft 7 in x 6 ft 11 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Ikea
3,Bed,INDIAN FURNITURE MART Metal Single Hydraulic Bed,2467,6262,"['Bed Material Subtype: Wrought Iron', 'W x H x D: 121.92 cm x 41 cm x 187.96 cm (4 ft x 1 ft 4 in x 6 ft 2 in)', 'Storage Type: Hydraulic', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
4,Bed,Flipkart Perfect Homes Opus Engineered Wood Queen Box B...,1849,5511,"['Bed Material Subtype: Particle Board', 'W x H x D: 162.3 cm x 79.9 cm x 213 cm (5 ft 3 in x 2 ft 7 in x 6 ft 11 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
5,Bed,Flipkart Perfect Homes Rhapsody Engineered Wood Queen B...,4612,10717,"['Bed Material Subtype: Particle Board', 'W x H x D: 162 cm x 889 mm x 2179 mm (5 ft 3 in x 2 ft 10 in x 7 ft 1 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
6,Bed,FurnitureKraft Nancy Metal Queen Bed,4199,8984,"['Bed Material Subtype: Wrought Iron', 'W x H x D: 154.5 cm x 95 cm x 206 cm (5 ft x 3 ft 1 in x 6 ft 9 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Dedeman
7,Bed,Trevi Primus Bed With Storage Engineered Wood Single NA...,1849,5511,"['Bed Material Subtype: Particle Board', 'W x H x D: 80.01 cm x 35.56 cm x 186.69 cm (2 ft 7 in x 1 ft 2 in x 6 ft 1 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
8,Bed,Flipkart Perfect Homes Waltz Engineered Wood King Box B...,1626,4934,"['Bed Material Subtype: Particle Board', 'W x H x D: 192.5 cm x 889 mm x 2179 mm (6 ft 3 in x 2 ft 10 in x 7 ft 1 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
9,Bed,FurnitureKraft Nancy Metal King Bed,1626,4934,"['Bed Material Subtype: Wrought Iron', 'W x H x D: 189 cm x 95 cm x 206 cm (6 ft 2 in x 3 ft 1 in x 6 ft 9 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
14,Bed,Flipkart Perfect Homes Sonore Engineered Wood Single Bo...,1724,2962,"['Bed Material Subtype: Particle Board', 'W x H x D: 185.42 cm x 43.18 cm x 81.28 cm (6 ft x 1 ft 5 in x 2 ft 7 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
23,Bed,Hometown King-ston Engineered Wood King Box Bed,3787,7747,"['Bed Material Subtype: Particle Board', 'W x H x D: 207 cm x 110 cm x 190 cm (6 ft 9 in x 3 ft 7 in x 6 ft 2 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Dedeman
