Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
0,Shoerack,"FLIPZON 12 Pair Metal, Plastic Shoe Stand",23,82,"['Material Subtype: PP', 'Width x Height: 6.5 Inches x 22.4 Inches', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
1,Shoerack,dbeautify Grey1 Metal Shoe Stand,40,132,"['Material Subtype: PP', 'Width x Height: 58 cm x 75 cm (1 ft 10 in x 2 ft 5 in)', 'Type: Shoe Stand', 'Capacity: 15', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
2,Shoerack,dbeautify Metal Shoe Stand,38,124,"['Material Subtype: Carbon Steel', 'Width x Height: 72 cm x 58 cm (2 ft 4 in x 1 ft 10 in)', 'Type: Shoe Stand', 'Capacity: 4', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
3,Shoerack,Nilkamal Churchill Engineered Wood Shoe Rack,438,701,"['Material Subtype: Particle Board', 'Width x Height: 79 cm x 51 cm (2 ft 7 in x 1 ft 8 in)', 'Type: Shoe Rack', 'Capacity: 12', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
4,Shoerack,BAE Storage Saving Rack Organizer Plastic Shoe Stand,28,82,"['Material Subtype: PP', 'Width x Height: 52 cm x 30 cm (1 ft 8 in x 11 in)', 'Type: Shoe Stand', 'Capacity: 9', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
5,Shoerack,KOnlineShop Plastic Collapsible Shoe Stand,50,165,"['Material Subtype: Carbon Steel', 'Width x Height: 580 cm x 1090 cm (19 ft x 35 ft 9 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 18', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
6,Shoerack,dbeautify Metal Shoe Stand,52,181,"['Material Subtype: Carbon Steel', 'Width x Height: 72 cm x 132 cm (2 ft 4 in x 4 ft 3 in)', 'Type: Shoe Stand', 'Capacity: 6', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
7,Shoerack,Nilkamal Alpine Engineered Wood Shoe Rack,468,660,"['Material Subtype: Particle Board', 'Width x Height: 60 cm x 91 cm (1 ft 11 in x 2 ft 11 in)', 'Type: Shoe Rack', 'Capacity: 8', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
8,Shoerack,Palkolink Multipurpose Adjustable 4 Shelves Plastic Col...,40,157,"['Material Subtype: Plywood', 'Width x Height: 66 cm x 88 cm (2 ft 1 in x 2 ft 10 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 20', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
9,Shoerack,KOnlineShop footwear stand with door & shoe stand Plast...,41,165,"['Material Subtype: Particle Board', 'Width x Height: 60 cm x 78 cm (1 ft 11 in x 2 ft 6 in)', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
