Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
0,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x36x14 inch Jute...,718,1320,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 91.44 cm x 35.56 cm x 198.12 cm (3 ft x 1 ft 2 in x 6 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
2,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x36x14 inch Jute...,718,1320,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 91.44 cm x 35.56 cm x 198.12 cm (3 ft x 1 ft 2 in x 6 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Magica
3,Sofa-bed,Sofame Rio Double Sofa Sectional Bed,718,1320,"['Shape: Platform','Mattress Included: No', 'Seat Capacity: 3 Seater', 'W x H x D: 217.2 cm x 88.9 cm x 129.5 cm (7 ft 1 in x 2 ft 10 in x 4 ft 2 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
4,Sofa-bed,Seventh Heaven 5×6 Jute Fabric 3 Seater Sofa cum Bed wi...,2243,3712,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 3 Seater', 'W x H x D: 152.41 cm x 20.33 cm x 182.9 cm (5 ft x 8 in x 6 ft)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
6,Sofa-bed,Solis Primus-comfort for all 5X6 size Sofa cum Bed for ...,627,1072,"['Shape: Rectangular', 'Mattress Included: No', 'Seat Capacity: 3 Seater', 'W x H x D: 152.4 cm x 71.12 cm x 76.2 cm (5 ft x 2 ft 4 in x 2 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Rusu
7,Sofa-bed,Sofame Rio Double Sofa Sectional Bed,718,1320,"['Shape: Platform','Mattress Included: No', 'Seat Capacity: 3 Seater', 'W x H x D: 217.2 cm x 88.9 cm x 129.5 cm (7 ft 1 in x 2 ft 10 in x 4 ft 2 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
8,Sofa-bed,Solis Primus-comfort for all 5X6 size Sofa cum Bed for ...,577,1567,"['Shape: Rectangular', 'Mattress Included: No', 'Seat Capacity: 3 Seater', 'W x H x D: 152.4 cm x 71.12 cm x 55.88 cm (5 ft x 2 ft 4 in x 1 ft 10 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Dedeman
9,Sofa-bed,Fresh Up Prisma One Seater Folding Sofa Bed for Living ...,2243,3712,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 1 Seater', 'W x H x D: 76.2 cm x 66.04 cm x 76.2 cm (2 ft 6 in x 2 ft 2 in x 2 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
10,Sofa-bed,Seventh Heaven 5×6 Jute Fabric 3 Seater Sofa cum Bed wi...,577,1320,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 3 Seater', 'W x H x D: 152.41 cm x 20.33 cm x 182.9 cm (5 ft x 8 in x 6 ft)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Mob Expert
11,Sofa-bed,Sofame Rio Double Sofa Sectional Bed,301,626,"['Shape: Straight','Mattress Included: No', 'Seat Capacity: 3 Seater', 'W x H x D: 217.2 cm x 88.9 cm x 129.5 cm (7 ft 1 in x 2 ft 10 in x 4 ft 2 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
12,Sofa-bed,Seventh Heaven 6×6 Jute Fabric Sofa cum Bed with 3 Cush...,627,1072,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 182.88 cm x 20.32 cm x 182.88 cm (6 ft x 8 in x 6 ft)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Magica
14,Sofa-bed,Fresh Up 4 Seater Sofa cum Bed Jute Fabric 78x36x14 Inc...,742,1238,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 198.12 cm x 35.56 cm x 55.88 cm (6 ft 6 in x 1 ft 2 in x 1 ft 10 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Rusu
15,Sofa-bed,LADRECHA FURNITURE Wooden 3 Seater Sofa Cum Bed for Hom...,655,1364,"['Shape: Straight','Mattress Included: Yes', 'Seat Capacity: 3 Seater', 'W x H x D: 152 cm x 74 cm x 183 cm (4 ft 11 in x 2 ft 5 in x 6 ft)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
16,Sofa-bed,Fresh Up Prisma One Seater Folding Sofa Bed for Living ...,2703,4741,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 1 Seater', 'W x H x D: 76.2 cm x 66.04 cm x 76.2 cm (2 ft 6 in x 2 ft 2 in x 2 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Jysk
17,Sofa-bed,Seventh Heaven 4×6 Jute Fabric 2 Seater Sofa cum Bed Do...,301,626,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 2 Seater', 'W x H x D: 121.92 cm x 20.32 cm x 182.88 cm (4 ft x 8 in x 6 ft)', 'Delivery Condition: Pre Assembled (Ready to Use)']",FurnitureForYou
18,Sofa-bed,Floresta Wud 4x6 ft (without Cushion) Double Sofa Bed,528,825,"['Shape: Rectangular', 'Mattress Included: No', 'Seat Capacity: 2 Seater', 'W x H x D: 121 cm x 53.3 cm x 76.2 cm (3 ft 11 in x 1 ft 8 in x 2 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
19,Sofa-bed,LKBS ART 4x6 ft (without Cushion) Double Metal Sofa Bed,393,1650,"['Shape: Straight','Mattress Included: Yes', 'Seat Capacity: 2 Seater', 'W x H x D: 121 cm x 60 cm x 76 cm (3 ft 11 in x 1 ft 11 in x 2 ft 5 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Dedeman
20,Sofa-bed,FURINNO Durable bed Double Solid Wood Sofa Bed,390,924,"['Shape: Straight', 'Mattress Included: Yes', 'Seat Capacity: 3 Seater', 'W x H x D: 198.12 cm x 88.9 cm x 76.2 cm (6 ft 6 in x 2 ft 10 in x 2 ft 6 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
21,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x44x14 inch Jute...,1307,3424,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 111.76 cm x 35.56 cm x 198.12 cm (3 ft 7 in x 1 ft 2 in x 6 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Mobila Casa
22,Sofa-bed,Fresh Up 4 Seater Solid Colour Sofa cum Bed 78x36x14 in...,802,1320,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 198.12 cm x 35.56 cm x 55.88 cm (6 ft 6 in x 1 ft 2 in x 1 ft 10 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Magica
23,Sofa-bed,LKBS ART 4x6 ft (without Cushion) Double Metal Sofa Bed,655,1364,"['Shape: Straight','Mattress Included: Yes', 'Seat Capacity: 2 Seater', 'W x H x D: 150 cm x 60 cm x 76 cm (4 ft 11 in x 1 ft 11 in x 2 ft 5 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Rusu
24,Sofa-bed,Flipkart Perfect Homes Casper Single Solid Wood Sofa Be...,420,924,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 3 Seater', 'W x H x D: 174 cm x 73.7 cm x 94 cm (5 ft 8 in x 2 ft 5 in x 3 ft 1 in)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
25,Sofa-bed,Fresh Up 4 Seater Solid Colour Sofa cum Bed 78x36x14 in...,577,1650,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 198.12 cm x 35.56 cm x 55.88 cm (6 ft 6 in x 1 ft 2 in x 1 ft 10 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Dedeman
26,Sofa-bed,Flipkart Perfect Homes Studio With Storage Double Metal...,643,1364,"['Shape: Straight','Mattress Included: Yes', 'Seat Capacity: 3 Seater', 'W x H x D: 195 cm x 80 cm x 65 cm (6 ft 4 in x 2 ft 7 in x 2 ft 1 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
27,Sofa-bed,LADRECHA FURNITURE Double Solid Wood Sofa Bed,1567,2178,"['Shape: Straight','Mattress Included: Yes', 'Seat Capacity: 3 Seater', 'W x H x D: 152 cm x 76.2 cm x 182.88 cm (4 ft 11 in x 2 ft 6 in x 6 ft)', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
28,Sofa-bed,Padamshree Double Sofa Bed,2703,4741,"['Shape: Straight','Mattress Included: No', 'Seat Capacity: 2 Seater', 'W x H x D: 121.92 cm x 20.32 cm x 182.88 cm (4 ft x 8 in x 6 ft)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Ikea
29,Sofa-bed,Solis Primus-comfort for all 6X6 size Sofa cum Bed for ...,427,1320,"['Shape: Rectangular', 'Mattress Included: No', 'Seat Capacity: 3 Seater', 'W x H x D: 177.8 cm x 71.12 cm x 76.2 cm (5 ft 9 in x 2 ft 4 in x 2 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Jysk
30,Sofa-bed,Fresh Up Prisma Two Seater Foldable Sofa Bed for Home -...,701,1485,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 2 Seater', 'W x H x D: 121.92 cm x 66.04 cm x 76.2 cm (4 ft x 2 ft 2 in x 2 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Mob Expert
31,Sofa-bed,Fresh Up Fresh Up 4 Seater Sofa cum Bed 78x36x14 inches...,481,1002,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 198.12 cm x 35.56 cm x 55.88 cm (6 ft 6 in x 1 ft 2 in x 1 ft 10 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",FurnitureForYou
33,Sofa-bed,Seventh Heaven 4×6 Jute Fabric 2 Seater Sofa cum Bed wi...,621,1294,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 2 Seater', 'W x H x D: 121.92 cm x 20.32 cm x 182.88 cm (4 ft x 8 in x 6 ft)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Jysk
35,Sofa-bed,Vibrant Interior Barcelona Double Metal Sofa Bed,619,1072,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 193.04 cm x 91.44 cm x 152.4 cm (6 ft 3 in x 3 ft x 5 ft)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
36,Sofa-bed,Seventh Heaven 4 Seater Sofa cum Bed 78x36x14 inch Jute...,536,825,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 91.44 cm x 35.56 cm x 198.12 cm (3 ft x 1 ft 2 in x 6 ft 6 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Jysk
37,Sofa-bed,Seventh Heaven 6×6 Jute Fabric Sofa cum Bed with 3 Cush...,536,825,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 182.88 cm x 20.32 cm x 182.88 cm (6 ft x 8 in x 6 ft)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Jysk
38,Sofa-bed,Fresh Up 4 Seater Dual ColourSofa cum Bed 78x44x14 inch...,1633,2970,"['Shape: Rectangular', 'Mattress Included: Yes', 'Seat Capacity: 4 Seater', 'W x H x D: 198.12 cm x 35.56 cm x 60.9 cm (6 ft 6 in x 1 ft 2 in x 1 ft 11 in)', 'Delivery Condition: Pre Assembled (Ready to Use)']",Casa Magica
