Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
0,TV unit,Flipkart Perfect Homes Phonox Engineered Wood TV Entert...,5007,10033,"['Material: Particle Board', 'W x H x D: 116 cm x 60 cm x 39 cm (3 ft 9 in x 1 ft 11 in x 1 ft 3 in)', 'Ideal TV Size: 43 inch', 'Number of Drawers: 0, Number of Open Shelves: 6, Number of Closed Shelves: 4', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mob Expert
1,TV unit,Flipkart Perfect Homes Webster TV Entertainment Unit,12833,19666,"['Material: Particle Board', 'W x H x D: 200 cm x 170 cm x 39 cm (6 ft 6 in x 5 ft 6 in x 1 ft 3 in)', 'Ideal TV Size: 55 inch', 'Number of Drawers: 2, Number of Open Shelves: 5, Number of Closed Shelves: 10', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
2,TV unit,Flipkart Perfect Homes Webster Engineered Wood TV Enter...,12934,20569,"['Material: Particle Board', 'W x H x D: 200 cm x 170 cm x 37.08 cm (6 ft 6 in x 5 ft 6 in x 1 ft 2 in)', 'Ideal TV Size: 55 inch', 'Number of Drawers: 2, Number of Open Shelves: 15, Number of Closed Shelves: 10', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Ikea
3,TV unit,Nilkamal Beaumont Engineered Wood TV Entertainment Unit,6738,10837,"['Material: Particle Board', 'W x H x D: 124 cm x 121 cm x 40 cm (4 ft x 3 ft 11 in x 1 ft 3 in)', 'Ideal TV Size: 32 inch', 'Number of Drawers: 0, Number of Open Shelves: 7, Number of Closed Shelves: 2', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
4,TV unit,ANIKAA WNT/WT Engineered Wood TV Entertainment Unit,3876,11036,"['Material: Particle Board', 'W x H x D: 130 cm x 112 cm x 25 cm (4 ft 3 in x 3 ft 8 in x 9 in)', 'Ideal TV Size: 43 inch', 'Number of Drawers: 0, Number of Open Shelves: 9, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
5,TV unit,Flipkart Perfect Homes Sirena Engineered Wood TV Entert...,5810,10033,"['Material: Particle Board', 'W x H x D: 150 cm x 131.5 cm x 39.6 cm (4 ft 11 in x 4 ft 3 in x 1 ft 3 in)', 'Ideal TV Size: 39 inch', 'Number of Drawers: 2, Number of Open Shelves: 6, Number of Closed Shelves: 0', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Ikea
6,TV unit,TADesign Robust Engineered Wood TV Entertainment Unit,6589,11027,"['Material: Particle Board', 'W x H x D: 180 cm x 47 cm x 40 cm (5 ft 10 in x 1 ft 6 in x 1 ft 3 in)', 'Ideal TV Size: 70 inch', 'Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 2', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
7,TV unit,Zuari by Forte Cyprus Engineered Wood TV Entertainment ...,9310,16052,"['Material: Particle Board', 'W x H x D: 1515 mm x 600 mm x 406 mm (4 ft 11 in x 1 ft 11 in x 1 ft 3 in)', 'Ideal TV Size: 55 inch', 'Number of Drawers: 2, Number of Open Shelves: 1, Number of Closed Shelves: 1', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mob Expert
8,TV unit,SAVYA HOME Engineered Wood TV Entertainment Unit,948,1705,"['Material: MDF', 'W x H x D: 50 cm x 20 cm x 21 cm (1 ft 7 in x 7 in x 8 in)', 'Ideal TV Size: 50 inch', 'Number of Drawers: 0, Number of Open Shelves: 1, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
9,TV unit,limraz furniture Engineered Wood TV Entertainment Unit,1143,3009,"['Material: MDF', 'W x H x D: 60 cm x 70 cm x 40 cm (1 ft 11 in x 2 ft 3 in x 1 ft 3 in)', 'Ideal TV Size: 32 inch', 'Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 0', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
