Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
0,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹729,₹799,"['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','W x H x D: 42 cm x 80 cm x 22 cm (1 ft 4 in x 2 ft 7 in x 8 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
1,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹569,"₹1,089","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 2','W x H x D: 57 cm x 65 cm x 30 cm (1 ft 10 in x 2 ft 1 in x 11 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
2,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹551,"₹1,998","['Suitable For: Storage','Number of Shelves: 4','Number of Drawers: 4','W x H x D: 320 mm x 830 mm x 120 mm (1 ft x 2 ft 8 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
3,Kitchen Cabinet,Crystal Furnitech Claus Engineered Wood Kitchen Cabinet,"₹2,420","₹3,000","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','W x H x D: 69.8 cm x 36.5 cm x 15.7 cm (2 ft 3 in x 1 ft 2 in x 6 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
4,Kitchen Cabinet,JVS Disha-Steel Plate Rack (DISHA 157) Metal Kitchen Ca...,₹259,"₹1,125","['Suitable For: Storage','Number of Shelves: 2','W x H x D: 29 mm x 25 mm x 29 mm (1 in x 1 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Rusu
5,Kitchen Cabinet,Xtenshion Crafts Engineered Wood Kitchen Cabinet,₹806,"₹1,530","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','W x H x D: 660 mm x 660 mm x 125 mm (2 ft 1 in x 2 ft 1 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
6,Kitchen Cabinet,Flipkart Perfect Homes Engineered Wood Kitchen Cabinet,"₹10,990","₹17,999","['Suitable For: Storage, Dining &amp; Kitchen Furniture','Number of Shelves: 12','Number of Drawers: 1','W x H x D: 800.1 mm x 2005.8 mm x 389.8 mm (2 ft 7 in x 6 ft 6 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
7,Kitchen Cabinet,Crystal Furnitech Eadric Engineered Wood Kitchen Cabine...,"₹11,390","₹14,846","['Suitable For: Storage','Number of Shelves: 7','W x H x D: 1200 mm x 1380 mm x 400 mm (3 ft 11 in x 4 ft 6 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
9,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹628,"₹2,199","['Suitable For: Storage','Number of Shelves: 5','Number of Drawers: 5','W x H x D: 320 mm x 1320 mm x 540 mm (1 ft x 4 ft 3 in x 1 ft 9 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
10,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹381,"₹1,199","['Suitable For: Storage','Number of Shelves: 2','Number of Drawers: 2','W x H x D: 320 mm x 410 mm x 120 mm (1 ft x 1 ft 4 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
